,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,General Status,CAND_CONTRIB,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,INDIV_REFUNDS,CMTE_REFUNDS,CVG_END_DT,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?
110,LIZ WATSON,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,On the Ballot,2286.26,306990.92,2500.0,14395.5,1600.0,12/31/2018,Yes,,Yes,,,No,Yes,,Yes,
111,ALAN LAPOLICE,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,0.0,0.0,4500.0,0.0,12/31/2018,,,,,,,,,,
112,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,,
113,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,,
114,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,,
115,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,,
116,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,No,No
117,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,No,No
118,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,No,No
119,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,No,No
120,BRENT WELDER,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,2032.26,70122.66,0.0,59699.12,11500.0,12/31/2018,No,,,Yes,Yes,Yes,Yes,No,,
121,JAY SIDIE,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,3100.0,0.0,0.0,6043.66,0.0,12/31/2018,No,,,No,No,No,No,No,,
122,MIKE MCCAMON,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,1049.85,0.0,0.0,0.0,0.0,12/31/2018,No,,,No,No,No,No,No,,
123,SHARICE DAVIDS,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,431469.13,5000.0,26788.76,0.0,12/31/2018,Yes,,,No,No,No,No,Yes,,
124,SYLVIA WILLIAMS,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,1132.32,0.0,0.0,2700.0,0.0,08/27/2018,No,,,No,No,No,No,No,,
125,TOM NIERMANN,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,0.0,5000.0,0.0,85254.0,0.0,09/30/2018,No,,,No,No,No,No,Yes,,
126,JAMES THOMPSON,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,65302.97,3000.0,16828.5,0.0,12/31/2018,,,,Yes,Yes,Yes,,,,
127,LAURA LOMBARD,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,,1325.0,1250.0,0.0,7900.0,0.0,12/31/2018,,,,No,No,No,,,,
128,PAUL WALKER,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,On the Ballot,0.0,6500.0,2650.0,0.0,0.0,12/31/2018,,,,,Yes,,,Yes,,
129,GRANT SHORT,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/22/2018,,,,,Yes,,,,,
130,HANK LINDERMAN,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,On the Ballot,0.0,13471.95,600.0,0.0,0.0,12/31/2018,,,,,No,,,,,
131,RANE SESSIONS,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,,2098.2,0.0,0.0,100.0,0.0,05/23/2018,,,,,No,,,,,
132,PATTI PIATT,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,,14600.0,1200.0,0.0,0.0,0.0,05/24/2018,,,,,,,,,,
133,SETH HALL,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,On the Ballot,0.0,2600.0,1000.0,0.0,0.0,11/29/2018,,,,,,,,,,
134,KENNETH STEPP,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,On the Ballot,574.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
135,AMY MCGRATH,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,On the Ballot,3572.5,390961.11,0.0,71595.8,2400.0,12/31/2018,,,,,,,,,,Yes
136,ALLISON GALBRAITH,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,,102.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,No,,,,,No
137,JESSE COLVIN,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,0.0,86555.05,0.0,1500.0,0.0,12/31/2018,,,,,No,,,,,Yes
138,MICHAEL BROWN,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,,135.0,0.0,0.0,0.0,0.0,06/27/2018,,,,,No,,,,,No
139,MICHAEL PULLEN,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,,30001.47,0.0,0.0,500.0,0.0,09/30/2018,,,,,Yes,,,,,No
140,ANDREW DUCK,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,,1888.51,100.0,0.0,0.0,0.0,07/14/2018,No,,,,No,No,,,No,
141,ARUNA MILLER,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,,1500.0,61046.99,0.0,202109.38,250.0,12/31/2018,Yes,,,,No,No,,,No,
142,NADIA HASHIMI,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,,6610.0,0.0,0.0,16343.0,0.0,09/30/2018,No,,,,No,No,,,No,
143,ROGER MANNO,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,,12149.47,152244.01,0.0,18500.0,22798.0,12/31/2018,No,,,,Yes,Yes,,,Yes,
144,CRAIG OLSON,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,,25.0,0.0,0.0,2950.0,0.0,12/31/2018,,,,,,,,,,No
145,JARED GOLDEN,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Advanced,On the Ballot,1000.0,409003.32,5000.0,64879.81,0.0,12/31/2018,,,,,,,,,,Yes
146,KIMBERLY BIZON,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,2205.95,1000.0,0.0,0.0,12/31/2018,,,,,,,,,,
147,MICHAEL MCCARTHY,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,,109250.25,0.0,0.0,0.0,0.0,09/04/2018,,,,,,,,,,
148,FAYROUZ SAAD,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,,7368.81,6200.0,0.0,22304.01,0.0,09/30/2018,,,,,,Yes,,,,
149,HALEY STEVENS,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,528691.88,5149.0,30435.26,4022.34,12/31/2018,,,,,,No,,,,
150,SUNEEL GUPTA,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,,5400.0,8000.0,0.0,238878.0,0.0,12/31/2018,,,,,,No,,,,
151,TIM GREIMEL,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,,0.0,187851.0,0.0,57369.0,20025.0,12/31/2018,,,,,,No,,,,
152,BRENDA JONES,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Advanced,On the Ballot,0.0,68000.0,0.0,500.0,0.0,12/31/2018,,,,,No,No,No,,,
153,BRENDA JONES,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,,0.0,68000.0,0.0,500.0,0.0,12/31/2018,,,,,No,No,No,,,
154,IAN CONYERS,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,,13047.01,21772.74,0.0,301.03,0.0,12/31/2018,,,,,No,No,No,,,
155,IAN CONYERS,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,,13047.01,21772.74,0.0,301.03,0.0,12/31/2018,,,,,No,No,No,,,
156,RASHIDA TLAIB,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,139520.54,0.0,34970.0,5250.0,12/31/2018,,,,,Yes,Yes,Yes,,,
157,RASHIDA TLAIB,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,,0.0,139520.54,0.0,34970.0,5250.0,12/31/2018,,,,,Yes,Yes,Yes,,,
158,DAVID BENAC,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,,6496.2,308.19,0.0,0.0,0.0,09/30/2018,,,,,Yes,Yes,,,,
159,GEORGE FRANKLIN,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,,0.0,11450.0,0.0,0.0,0.0,12/31/2018,,,,,No,No,,,,
160,MATT LONGJOHN,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,On the Ballot,69492.51,79661.33,0.0,9055.42,0.0,12/31/2018,,,,,No,No,,,,
161,RICH EICHHOLZ,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,,28363.77,0.0,0.0,125.0,0.0,09/01/2018,,,,,No,No,,,,
162,GRETCHEN DRISKELL,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,On the Ballot,50000.0,458029.98,5291.42,13720.7,623.64,12/31/2018,Yes,,,,No,,,,,
163,STEVEN FRIDAY,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,,23746.37,0.0,0.0,6060.0,0.0,09/17/2018,No,,,,Yes,,,,,
164,ELISSA SLOTKIN,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,621940.68,12000.0,42634.38,2272.0,12/31/2018,Yes,Yes,,,,,,,,
165,ANDY LEVIN,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,On the Ballot,226.15,463913.32,0.0,1125.0,0.0,12/31/2018,No,,,,,,,,,
166,ELLEN LIPTON,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,,9967.97,10550.0,0.0,25536.32,0.0,10/17/2018,Yes,,,,,,,,,
167,MARTIN BROOK,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,,4507.3,0.0,0.0,0.0,0.0,09/15/2018,No,,,,,,,,,
168,CORT VANOSTRAN,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,12570.31,164560.38,5000.0,9438.58,0.0,12/31/2018,,,,,,,,,,No
169,JOHN MESSMER,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,,175.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,No
170,MARK OSMACK,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,,1524.21,7900.0,0.0,2850.0,200.0,10/10/2018,,,,,,,,,,Yes
171,KATY GEPPERT,MO,U.S. House Missouri District 3,Representative,Regular,8/7/18,Advanced,On the Ballot,2643.08,6620.0,200.0,0.0,0.0,12/31/2018,,,,,,,,,,
172,HALLIE THOMPSON,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Lost,,957.42,2600.0,0.0,0.0,0.0,09/30/2018,,,,,,,,,,
173,HENRY MARTIN,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Advanced,On the Ballot,67.58,690.05,100.0,0.0,0.0,12/31/2018,,,,,No,,,,,
174,JAMIE SCHOOLCRAFT,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Advanced,On the Ballot,861.5,14073.54,1000.0,0.0,0.0,12/31/2018,,,,,,Yes,,,,
175,RANDY WADKINS,MS,U.S. House Mississippi District 1,Representative,Regular,6/5/18,Advanced,On the Ballot,660.81,0.0,1500.0,215.46,0.0,12/31/2018,,,,,,,,,,
176,JERAMEY ANDERSON,MS,U.S. House Mississippi District 4,Representative,Regular,6/5/18,Advanced,On the Ballot,0.0,15750.0,0.0,2025.0,0.0,12/31/2018,,,,,,,,Yes,,
177,DAVID BARIA,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,On the Ballot,76.0,25700.0,6925.0,500.0,0.0,12/31/2018,,,,,,,,,,
178,HOWARD SHERMAN,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,,0.0,500.0,0.0,3700.0,0.0,09/30/2018,,,,,,,,,,
179,JENSEN BOHREN,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,,0.0,1.0,0.0,47.0,0.0,06/30/2018,,,,,,,,,,
180,OMERIA SCOTT,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,,0.0,0.0,0.0,0.0,0.0,05/16/2018,,,,,,,,,,
181,GRANT KIER,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,,2700.0,6351.19,0.0,66943.28,0.0,09/30/2018,,,,,No,No,,,,
182,JARED PETTINATO,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,,17358.01,0.0,0.0,30.0,0.0,07/13/2018,,,,,No,No,,,,
183,JOHN HEENAN,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,,124355.28,5518.19,0.0,62248.53,0.0,11/08/2018,,,,,Yes,Yes,,,,
184,KATHLEEN WILLIAMS,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Advanced,On the Ballot,0.0,197837.74,762.7,67947.98,4500.0,12/31/2018,,,,,No,No,,,,
185,LYNDA MOSS,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,No,No,,,,
186,DAVID BROWN,NC,U.S. House North Carolina District 10,Representative,Regular,5/8/18,Advanced,On the Ballot,478.33,3500.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
187,PHILLIP PRICE,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Advanced,On the Ballot,0.0,5382.0,10361.03,100.0,0.0,12/31/2018,,,,,,,,,,
188,STEVE WOODSMALL,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,,1442.11,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
189,ADAM COKER,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Lost,,0.0,100.0,0.0,0.0,0.0,12/31/2018,No,,,,,,,,,
190,KATHY MANNING,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Advanced,On the Ballot,323550.88,390758.19,5187.33,18746.52,3000.0,12/31/2018,Yes,,,,,,,,,
191,KEN ROMLEY,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,,5314.59,0.0,0.0,33339.17,0.0,12/31/2018,,,,,,,,,,
192,LINDA COLEMAN,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Advanced,On the Ballot,69.0,246524.73,3937.5,7113.43,7000.0,12/31/2018,,,,,,,,,,
193,RYAN WATTS,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Advanced,On the Ballot,15462.94,10600.0,41.67,600.0,0.0,12/31/2018,,,,,,,,Yes,,
194,GRAYSON PARKER,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Lost,,2500.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
195,FRANK MCNEILL,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Advanced,On the Ballot,0.0,38115.75,0.0,4077.0,8676.96,12/21/2018,,,,,,,,,,
196,MARC TIEGEL,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,,0.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
197,SCOTT HUFFMAN,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,,0.0,0.0,0.0,0.0,0.0,03/31/2018,,,,,,,,,,
198,MAC SCHNEIDER,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Advanced,On the Ballot,0.0,120505.64,5000.0,2325.0,1.81,12/31/2018,,,,,,,,,,
199,DENNIS CRAWFORD,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Lost,,807.0,200.0,0.0,0.0,100.0,06/30/2018,,,,,,,,,No,
200,JESSICA MCCLURE,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Advanced,On the Ballot,1073.27,500.0,250.0,0.0,0.0,12/31/2018,,,,,,,,,No,
201,BRAD ASHFORD,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Lost,,0.0,170500.0,0.0,42745.0,19000.0,07/31/2018,,,,,,No,No,,No,
202,KARA EASTMAN,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Advanced,On the Ballot,4745.0,190070.83,500.0,9168.07,0.0,12/31/2018,,,,,,Yes,Yes,,Yes,
203,PAUL THEOBALD,NE,U.S. House Nebraska District 3,Representative,Regular,5/15/18,Advanced,On the Ballot,2755.17,250.0,993.25,0.0,0.0,12/31/2018,,,,,,,,,,
204,FRANK SVOBODA,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,,16000.0,0.0,0.0,0.0,0.0,04/15/2018,,,,,,,,,,
205,JANE RAYBOULD,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Advanced,On the Ballot,28383.0,155466.51,0.0,22560.68,750.0,12/31/2018,,,,,,,,,,
206,LARRY MARVIN,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/14/2018,,,,,,,,,,
207,MITCHELL COBERT,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,,1688.33,25.0,0.0,0.0,0.0,10/03/2018,No,No,,,,,,,,No
208,TAMARA HARRIS,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,,457130.0,15000.0,0.0,8875.0,0.0,07/31/2018,No,No,,,,,,,,No
209,GOUTAM JOIS,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,,2987.74,7500.0,0.0,49928.0,0.0,12/31/2018,,No,,,No,No,,,,
210,PETER JACOB,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,,0.0,250.0,0.0,5.0,0.0,10/15/2018,,No,,,Yes,Yes,,,,
211,TOM MALINOWSKI,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,On the Ballot,0.0,402139.15,5000.0,48764.91,1000.0,12/31/2018,,Yes,,,No,No,,,,
212,DAMIAN LARA,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,,12135.88,0.0,0.0,3262.0,0.0,09/12/2018,No,,No,,No,No,,,No,No
213,DAMON MARTINEZ,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,,4087.59,13600.0,0.0,47412.56,0.0,12/31/2018,No,,No,,No,No,,,No,Yes
214,DEBRA HAALAND,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,On the Ballot,3005.0,351515.27,0.0,14960.34,100.0,12/31/2018,Yes,,Yes,,No,No,,,No,No
215,PATRICK DAVIS,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,,0.0,3300.2,0.0,8075.12,0.0,12/31/2018,No,,No,,No,No,,,No,No
216,PAUL MOYA,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,,25252.21,0.0,0.0,7680.0,0.0,12/31/2018,No,,No,,No,No,,,No,No
217,PATRICK FOGARTY,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,,10000.0,0.0,0.0,0.0,0.0,07/02/2018,,,,,Yes,,,,,
218,RICK SHEPHERD,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,,30000.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,No,,,,,
219,VANCE ALM,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,,2500.0,0.0,0.0,0.0,0.0,03/31/2018,,,,,No,,,,,
220,GUY PINJUV,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,,0.0,1600.0,0.0,0.0,0.0,07/01/2018,No,No,,,,,,,,
221,MICHAEL WEISS,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,,2000.0,0.0,0.0,0.0,0.0,06/23/2018,No,No,,,,,,,,
