,Unnamed: 0_x,Candidate.First.Name,Candidate.Last.Name,Candidate.State,Candidate.District,Candidate.Party,Incumbent,Freshman.Member,Candidate.Website.URL,Candidate.Gender,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Party.Category.1,Incumbency,Female,Democrat,Republican,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,Primary.Outcome,Primary.Runoff.Outcome,Candidate,District_x,Unnamed: 0_y,State,District_y,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev
0,1772,Joshua,Williams,TN,2,Democrat,,,https://joshuawilliamsforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",Ph.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,Joshua Williams,TN-2,640,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,0.0,-38.18,23.08,No,White,No,No,No,No,Yes,No,0,0,Yes,0,0,0,0,0,0,0,0,0,,2,TN-2
1,1773,Joseph,Schenkenfelder,TN,2,Democrat,,,NONE,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,Joseph Schenkenfelder,TN-2,639,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,0.0,-38.18,4.5100002,No,,,,,No,,No,0,0,No,0,0,0,0,0,0,0,0,0,,2,TN-2
2,1774,Renee,Hoyos,TN,2,Democrat,,,http://hoyosforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,Renee Hoyos,TN-2,641,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,None,1.0,-38.18,72.410004,Yes,White,No,No,No,No,No,No,0,0,Yes,0,0,0,1,0,0,1,0,0,,2,TN-2
3,1782,Danielle,Mitchell,TN,3,Democrat,,,https://www.mitchell4congress.com/,Female,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,Danielle Mitchell,TN-3,642,TN,U.S. House Tennessee District 3,Representative,Regular,8/2/18,Advanced,None,1.0,-35.98,100.0,Yes,White,No,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,1,0,0,,3,TN-3
4,1787,Christopher,Hale,TN,4,Democrat,,,https://www.christopherhale.com/,Male,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate opposes raises taxes (or candidate supports lowering taxes for all),"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NEUTRAL MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,Christopher Hale,TN-4,643,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,None,0.0,-41.48,34.720001,No,White,No,No,No,No,No,Yes,0,0,,0,0,0,0,0,0,0,0,0,,4,TN-4
5,1788,Steven,Reynolds,TN,4,Democrat,,,https://www.stevenreynoldsforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,Steven Reynolds,TN-4,645,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,None,0.0,-41.48,17.77,No,White,No,No,No,No,No,No,0,0,,0,0,0,0,0,0,0,0,0,,4,TN-4
6,1789,Mariah,Phillips,TN,4,Democrat,,,https://www.mariah4congress.com/,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,Mariah Phillips,TN-4,644,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Advanced,None,1.0,-41.48,47.509998,Yes,White,No,No,No,No,No,No,0,0,,0,0,0,0,0,0,1,0,0,,4,TN-4
7,1795,Christopher,Finley,TN,6,Democrat,,,NONE,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,Christopher Finley,TN-6,646,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,0.0,-49.110001,15.06,No,,,,,No,,No,0,0,No,0,0,0,0,0,0,0,0,0,,6,TN-6
8,1796,Peter,Heffernan,TN,6,Democrat,,,NONE,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,Peter Heffernan,TN-6,649,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,0.0,-49.110001,8.3699999,No,,,,,No,,No,0,0,No,0,0,0,0,0,0,0,0,0,,6,TN-6
9,1797,Merrilee,Wineinger,TN,6,Democrat,,,https://www.merrileefortennessee.com/,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,Merrilee Wineinger,TN-6,648,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,0.0,-49.110001,22.059999,No,White,No,No,No,No,No,No,0,0,No,0,0,0,0,0,0,1,0,0,,6,TN-6
10,1798,Dawn,Barlow,TN,6,Democrat,,,https://www.dawnbarlowforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,Dawn Barlow,TN-6,647,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,None,1.0,-49.110001,54.509998,Yes,White,No,No,No,No,Yes,No,0,0,Yes,0,0,0,0,0,0,0,0,0,,6,TN-6
11,1804,Matt,Reel,TN,7,Democrat,,,https://www.reel4tn.com/,Male,"Yes, the candidate serves or served in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,"Candidate supports local solutions to reform education (e.g. opposes common core, etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,Matt Reel,TN-7,651,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Lost,None,0.0,-40.209999,37.889999,No,White,Yes,No,No,No,No,No,0,0,No,0,0,0,0,0,0,0,0,0,,7,TN-7
12,1805,Justin,Kanew,TN,7,Democrat,,,https://www.kanewforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,Justin Kanew,TN-7,650,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,None,1.0,-40.209999,62.110001,Yes,White,No,No,No,No,No,No,0,0,Yes,0,0,0,0,0,0,1,0,0,,7,TN-7
13,2174,Dorothy,Gasque,WA,3,Democrat,,,https://dorothyforcongress.com/,Female,"Yes, the candidate serves or served in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,Dorothy Gasque,WA-3,794,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,None,0.0,-8.5100002,,No,White,Yes,No,No,No,Yes,No,0,0,No,0,0,0,1,1,0,0,0,0,,3,WA-3
14,2175,Martin,Hash,WA,3,Democrat,,,https://www.martinhash.com/,Male,"No, the candidate does not include any information about serving in the military",Ph.D.,Married,,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,Martin Hash,WA-3,795,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,None,0.0,-8.5100002,,No,White,No,No,No,No,Yes,No,0,0,No,0,0,0,0,0,0,0,0,0,,3,WA-3
15,2176,David,McDevitt,WA,3,Democrat,,,http://votemcdevitt.com/,Male,"Yes, the candidate serves or served in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,David McDevitt,WA-3,793,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,None,0.0,-8.5100002,,No,White,Yes,No,No,Yes,No,No,0,0,No,0,0,0,0,0,0,0,0,0,,3,WA-3
16,2177,Carolyn,Long,WA,3,Democrat,,,https://www.electlong.com/,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate explicitly supports ACA,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Establishment Democrat,,0,1.0,1,0,NEGATIVE MENTION,POSITIVE MENTION,NEUTRAL MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,,Winner,,Carolyn Long,WA-3,792,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Advanced,None,1.0,-8.5100002,,Yes,White,No,No,No,No,No,No,0,1,Yes,0,0,0,0,0,0,1,0,0,,3,WA-3
17,2181,Christine,Brown,WA,4,Democrat,,,https://www.christinebrownforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,Christine Brown,WA-4,796,WA,U.S. House Washington District 4,Representative,Regular,8/7/18,Advanced,None,1.0,-25.08,,Yes,White,No,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0,0,,4,WA-4
18,2183,Lisa,Brown,WA,5,Democrat,,,https://lisabrownforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Ph.D.,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,Lisa Brown,WA-5,797,WA,U.S. House Washington District 5,Representative,Regular,8/7/18,Advanced,None,1.0,-14.81,,Yes,White,No,No,Yes,No,No,No,1,1,Yes,0,0,0,0,0,0,1,0,0,,5,WA-5
19,2193,Shannon,Hader,WA,8,Democrat,,,http://drshannonforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,No information,,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,,Loser,,Shannon Hader,WA-8,800,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,None,0.0,0.12,,No,White,No,No,No,Yes,Yes,No,0,0,Yes,0,0,0,0,0,0,0,0,0,,8,WA-8
20,2195,Jason,Rittereiser,WA,8,Democrat,,,https://www.jasonrittereiser.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,0.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,Jason Rittereiser,WA-8,798,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,None,0.0,0.12,,No,White,No,No,No,No,No,No,0,0,Yes,0,0,0,1,0,0,1,0,0,,8,WA-8
21,2196,Kim,Schrier,WA,8,Democrat,,,https://www.drkimschrier.com/,Female,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NEGATIVE MENTION,,Winner,,Kim Schrier,WA-8,799,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Advanced,None,1.0,0.12,,Yes,White,No,No,No,No,Yes,No,0,1,Yes,0,0,0,0,0,0,0,0,0,,8,WA-8
